paper_id,year,total_authors,dominant_type,n_industry_research_lab,prop_industry_research_lab,n_other,prop_other,n_research_university,prop_research_university,n_tech_company,prop_tech_company
1801.01604,2018,1,research university,0,0.0,0,0.0,1,1.0,0,0.0
1801.01705,2018,1,research university,0,0.0,0,0.0,1,1.0,0,0.0
1801.03160,2018,2,research university,0,0.0,0,0.0,2,1.0,0,0.0
1801.05644,2018,2,research university,0,0.0,0,0.0,2,1.0,0,0.0
1802.02534,2018,5,research university,0,0.0,2,0.4,3,0.6,0,0.0
1802.03493,2018,3,industry research lab,2,0.667,0,0.0,1,0.333,0,0.0
1802.04181,2018,4,other,1,0.25,3,0.75,0,0.0,0,0.0
1802.06767,2018,4,other,0,0.0,4,1.0,0,0.0,0,0.0
1803.05402,2018,8,other,0,0.0,8,1.0,0,0.0,0,0.0
1803.09840,2018,4,other,0,0.0,2,0.5,2,0.5,0,0.0
1804.02257,2018,4,research university,0,0.0,1,0.25,3,0.75,0,0.0
1804.05212,2018,5,research university,0,0.0,0,0.0,4,0.8,1,0.2
1804.10829,2018,5,research university,0,0.0,0,0.0,5,1.0,0,0.0
1805.06861,2018,4,research university,0,0.0,0,0.0,4,1.0,0,0.0
1805.07547,2018,2,other,0,0.0,2,1.0,0,0.0,0,0.0
1805.07733,2018,2,research university,0,0.0,0,0.0,2,1.0,0,0.0
1805.09169,2018,4,other,0,0.0,4,1.0,0,0.0,0,0.0
1806.00201,2018,4,other,0,0.0,4,1.0,0,0.0,0,0.0
1806.00938,2018,3,research university,0,0.0,0,0.0,3,1.0,0,0.0
1806.01151,2018,4,research university,0,0.0,0,0.0,4,1.0,0,0.0
1806.03793,2018,4,research university,0,0.0,0,0.0,4,1.0,0,0.0
1806.05108,2018,1,other,0,0.0,1,1.0,0,0.0,0,0.0
1806.10755,2018,3,research university,0,0.0,1,0.333,2,0.667,0,0.0
1807.04561,2018,5,research university,0,0.0,0,0.0,5,1.0,0,0.0
1808.00981,2018,2,research university,0,0.0,0,0.0,2,1.0,0,0.0
1808.01741,2018,1,tech company,0,0.0,0,0.0,0,0.0,1,1.0
1808.03598,2018,2,research university,0,0.0,1,0.5,1,0.5,0,0.0
1808.04317,2018,2,research university,0,0.0,0,0.0,2,1.0,0,0.0
1809.02317,2018,2,other,0,0.0,2,1.0,0,0.0,0,0.0
1809.03260,2018,5,industry research lab,5,1.0,0,0.0,0,0.0,0,0.0
1809.04708,2018,3,research university,0,0.0,1,0.333,2,0.667,0,0.0
1809.05724,2018,11,industry research lab,10,0.909,0,0.0,1,0.091,0,0.0
1809.06481,2018,7,tech company,0,0.0,0,0.0,0,0.0,7,1.0
1809.07027,2018,2,research university,0,0.0,0,0.0,2,1.0,0,0.0
1809.08860,2018,2,research university,0,0.0,1,0.5,1,0.5,0,0.0
1810.02612,2018,3,tech company,0,0.0,0,0.0,0,0.0,3,1.0
1810.05983,2018,8,other,0,0.0,8,1.0,0,0.0,0,0.0
1810.06033,2018,8,research university,0,0.0,2,0.25,6,0.75,0,0.0
1810.06617,2018,3,research university,0,0.0,0,0.0,2,0.667,1,0.333
1810.06765,2018,3,research university,0,0.0,0,0.0,3,1.0,0,0.0
1810.07159,2018,6,industry research lab,4,0.667,1,0.167,1,0.167,0,0.0
1810.08460,2018,2,research university,0,0.0,0,0.0,2,1.0,0,0.0
1810.10102,2018,2,research university,0,0.0,0,0.0,2,1.0,0,0.0
1811.05106,2018,4,research university,0,0.0,0,0.0,3,0.75,1,0.25
1811.11623,2018,5,other,0,0.0,5,1.0,0,0.0,0,0.0
1811.12455,2018,1,research university,0,0.0,0,0.0,1,1.0,0,0.0
1812.02648,2018,6,industry research lab,5,0.833,1,0.167,0,0.0,0,0.0
1812.08597,2018,4,other,0,0.0,4,1.0,0,0.0,0,0.0
1812.08957,2018,3,research university,0,0.0,0,0.0,3,1.0,0,0.0
1812.11142,2018,2,research university,0,0.0,0,0.0,2,1.0,0,0.0
1901.01970,2019,1,other,0,0.0,1,1.0,0,0.0,0,0.0
1901.10405,2019,2,research university,0,0.0,0,0.0,2,1.0,0,0.0
1902.02279,2019,3,other,0,0.0,3,1.0,0,0.0,0,0.0
1902.09335,2019,2,research university,0,0.0,0,0.0,2,1.0,0,0.0
1902.09706,2019,3,research university,0,0.0,0,0.0,3,1.0,0,0.0
1902.09835,2019,2,research university,0,0.0,0,0.0,2,1.0,0,0.0
1902.10119,2019,3,research university,0,0.0,0,0.0,3,1.0,0,0.0
1902.10178,2019,6,other,0,0.0,3,0.5,3,0.5,0,0.0
1903.03411,2019,5,other,0,0.0,5,1.0,0,0.0,0,0.0
1903.05614,2019,7,industry research lab,6,0.857,1,0.143,0,0.0,0,0.0
1903.07198,2019,4,research university,0,0.0,0,0.0,4,1.0,0,0.0
1903.08772,2019,13,other,0,0.0,13,1.0,0,0.0,0,0.0
1903.09569,2019,4,research university,0,0.0,0,0.0,4,1.0,0,0.0
1904.07366,2019,5,research university,0,0.0,0,0.0,5,1.0,0,0.0
1904.09837,2019,4,research university,0,0.0,0,0.0,4,1.0,0,0.0
1904.11694,2019,6,tech company,0,0.0,0,0.0,2,0.333,4,0.667
1905.07028,2019,2,research university,0,0.0,1,0.5,1,0.5,0,0.0
1905.07030,2019,1,research university,0,0.0,0,0.0,1,1.0,0,0.0
1905.11474,2019,4,research university,0,0.0,0,0.0,4,1.0,0,0.0
1905.13178,2019,3,mixed,1,0.333,1,0.333,0,0.0,1,0.333
1906.01747,2019,3,research university,0,0.0,0,0.0,3,1.0,0,0.0
1906.06251,2019,4,other,0,0.0,2,0.5,2,0.5,0,0.0
1907.04659,2019,1,research university,0,0.0,0,0.0,1,1.0,0,0.0
1907.05553,2019,1,research university,0,0.0,0,0.0,1,1.0,0,0.0
1907.07631,2019,1,research university,0,0.0,0,0.0,1,1.0,0,0.0
1907.09273,2019,14,industry research lab,14,1.0,0,0.0,0,0.0,0,0.0
1907.09468,2019,2,other,0,0.0,1,0.5,1,0.5,0,0.0
1907.12495,2019,5,research university,0,0.0,0,0.0,5,1.0,0,0.0
1908.01417,2019,3,research university,0,0.0,0,0.0,3,1.0,0,0.0
1908.05145,2019,5,research university,0,0.0,1,0.2,4,0.8,0,0.0
1908.06183,2019,1,research university,0,0.0,0,0.0,1,1.0,0,0.0
1908.07651,2019,1,other,0,0.0,1,1.0,0,0.0,0,0.0
1908.10258,2019,4,research university,0,0.0,0,0.0,4,1.0,0,0.0
1909.00885,2019,2,research university,0,0.0,0,0.0,2,1.0,0,0.0
1909.01128,2019,2,research university,0,0.0,0,0.0,2,1.0,0,0.0
1909.01421,2019,1,research university,0,0.0,0,0.0,1,1.0,0,0.0
1909.04309,2019,4,other,0,0.0,4,1.0,0,0.0,0,0.0
1909.04386,2019,3,research university,0,0.0,0,0.0,3,1.0,0,0.0
1909.07116,2019,1,tech company,0,0.0,0,0.0,0,0.0,1,1.0
1909.08252,2019,2,research university,0,0.0,0,0.0,2,1.0,0,0.0
1909.09213,2019,1,research university,0,0.0,0,0.0,1,1.0,0,0.0
1910.00057,2019,3,research university,0,0.0,0,0.0,3,1.0,0,0.0
1910.09472,2019,8,research university,0,0.0,4,0.5,4,0.5,0,0.0
1910.13526,2019,3,research university,0,0.0,0,0.0,3,1.0,0,0.0
1911.00449,2019,3,research university,0,0.0,0,0.0,3,1.0,0,0.0
1911.01156,2019,2,other,0,0.0,2,1.0,0,0.0,0,0.0
1911.04766,2019,3,research university,0,0.0,0,0.0,3,1.0,0,0.0
1911.05499,2019,7,research university,0,0.0,1,0.143,6,0.857,0,0.0
1911.07318,2019,5,research university,0,0.0,2,0.4,3,0.6,0,0.0
1912.09644,2019,1,research university,0,0.0,0,0.0,1,1.0,0,0.0
2001.02912,2020,2,research university,0,0.0,0,0.0,2,1.0,0,0.0
2001.04186,2020,4,research university,0,0.0,0,0.0,4,1.0,0,0.0
2001.10953,2020,4,research university,0,0.0,0,0.0,4,1.0,0,0.0
2003.00030,2020,3,other,0,0.0,3,1.0,0,0.0,0,0.0
2003.00683,2020,5,other,0,0.0,5,1.0,0,0.0,0,0.0
2003.01848,2020,5,research university,0,0.0,0,0.0,5,1.0,0,0.0
2003.05856,2020,11,other,4,0.364,7,0.636,0,0.0,0,0.0
2004.00980,2020,3,research university,0,0.0,1,0.333,2,0.667,0,0.0
2004.01098,2020,4,research university,0,0.0,0,0.0,4,1.0,0,0.0
2004.12770,2020,2,research university,0,0.0,0,0.0,2,1.0,0,0.0
2004.12908,2020,16,research university,0,0.0,0,0.0,12,0.75,4,0.25
2004.13654,2020,4,industry research lab,3,0.75,1,0.25,0,0.0,0,0.0
2005.09331,2020,3,other,0,0.0,3,1.0,0,0.0,0,0.0
2005.14664,2020,2,other,0,0.0,2,1.0,0,0.0,0,0.0
2006.00417,2020,4,research university,0,0.0,0,0.0,4,1.0,0,0.0
2006.01473,2020,3,research university,0,0.0,0,0.0,3,1.0,0,0.0
2006.08153,2020,3,research university,0,0.0,0,0.0,3,1.0,0,0.0
2007.04933,2020,5,other,0,0.0,4,0.8,1,0.2,0,0.0
2007.05402,2020,4,research university,0,0.0,0,0.0,4,1.0,0,0.0
2007.09300,2020,4,research university,0,0.0,0,0.0,4,1.0,0,0.0
2007.09448,2020,5,industry research lab,5,1.0,0,0.0,0,0.0,0,0.0
2007.09450,2020,3,research university,0,0.0,0,0.0,3,1.0,0,0.0
2007.12904,2020,3,other,0,0.0,3,1.0,0,0.0,0,0.0
2008.04589,2020,4,research university,0,0.0,1,0.25,3,0.75,0,0.0
2008.05131,2020,6,research university,0,0.0,0,0.0,6,1.0,0,0.0
2008.06595,2020,4,research university,0,0.0,1,0.25,3,0.75,0,0.0
2008.07372,2020,2,research university,0,0.0,0,0.0,2,1.0,0,0.0
2008.07971,2020,5,other,0,0.0,5,1.0,0,0.0,0,0.0
2009.00433,2020,3,other,0,0.0,2,0.667,1,0.333,0,0.0
2009.03457,2020,7,industry research lab,7,1.0,0,0.0,0,0.0,0,0.0
2009.09263,2020,6,research university,0,0.0,0,0.0,4,0.667,2,0.333
2009.10236,2020,1,tech company,0,0.0,0,0.0,0,0.0,1,1.0
2009.14665,2020,6,research university,0,0.0,0,0.0,6,1.0,0,0.0
2010.03790,2020,9,industry research lab,7,0.778,1,0.111,1,0.111,0,0.0
2010.10724,2020,3,research university,0,0.0,0,0.0,3,1.0,0,0.0
2010.11523,2020,4,research university,0,0.0,0,0.0,4,1.0,0,0.0
2010.13482,2020,3,other,0,0.0,3,1.0,0,0.0,0,0.0
2011.07751,2020,6,other,0,0.0,6,1.0,0,0.0,0,0.0
2011.09410,2020,4,research university,0,0.0,0,0.0,4,1.0,0,0.0
2011.09967,2020,4,other,0,0.0,4,1.0,0,0.0,0,0.0
2011.12863,2020,4,research university,0,0.0,1,0.25,3,0.75,0,0.0
