paper_id,year,author_name,affiliation_string,institution_type
1810.10102,2018,Saleh Mousa,"Department of Civil and Environmental Engineering, Louisiana State University, Baton Rouge, LA 70803, USA",research university
1810.10102,2018,Sherif Ishak,"Department of Civil and Environmental Engineering, Old Dominion University",research university
1806.00938,2018,Evan Hernandez,University of Wisconsin-Madison,research university
1806.00938,2018,Ara Vartanian,University of Wisconsin-Madison,research university
1806.00938,2018,Xiaojin Zhu,University of Wisconsin-Madison,research university
1807.04561,2018,Giuseppe De Giacomo,"Sapienza Università di Roma, Italy",research university
1807.04561,2018,Brian Logan,"University of Nottingham, UK",research university
1807.04561,2018,Paolo Felli,"Free University of Bozen-Bolzano, Italy",research university
1807.04561,2018,Fabio Patrizi,"Sapienza Università di Roma, Italy",research university
1807.04561,2018,Sebastian Sardina,"RMIT University, Australia",research university
1802.03493,2018,Mehrdad Farajtabar,Georgia Institute of Technology,research university
1802.03493,2018,Yinlam Chow,Google DeepMind,industry research lab
1802.03493,2018,Mohammad Ghavamzadeh,Google DeepMind,industry research lab
1809.04708,2018,Ikhlas Alhussien,"School of Computer Science and Engineering, Nanyang Technological University, Singapore",research university
1809.04708,2018,Erik Cambria,"School of Computer Science and Engineering, Nanyang Technological University, Singapore",research university
1809.04708,2018,Zhang NengSheng,"Singapore Institute of Manufacturing Technology (SIMTech), Agency for Science, Technology and Research (A*STAR), Singapore",government research institute
1801.01705,2018,Martijn van Otterlo,"Vrije Universiteit Amsterdam, The Netherlands",research university
1810.06033,2018,Chen Li,"Beijing Advanced Innovation Center for Big Data and Brain Computing, Beihang University, Beijing, China; State Key Laboratory of Software Development Environment Lab, Beihang University, Beijing, China",research university
1810.06033,2018,Xutan Peng,"Beijing Advanced Innovation Center for Big Data and Brain Computing, Beihang University, Beijing, China; State Key Laboratory of Software Development Environment Lab, Beihang University, Beijing, China",research university
1810.06033,2018,Shanghang Zhang,"Department of Electrical and Computer Engineering, Carnegie Mellon University, Pittsburgh, CP, USA",research university
1810.06033,2018,Hao Peng,"Beijing Advanced Innovation Center for Big Data and Brain Computing, Beihang University, Beijing, China; State Key Laboratory of Software Development Environment Lab, Beihang University, Beijing, China",research university
1810.06033,2018,Philip S. Yu,"Department of Computer Science, University of Illinois at Chicago, Chicago, IL, USA",research university
1810.06033,2018,Min He,"National Computer Network Emergency Response Technical Team/Coordination Center of China, Beijing, China",government agency
1810.06033,2018,Linfeng Du,"Beijing Advanced Innovation Center for Big Data and Brain Computing, Beihang University, Beijing, China",research university
1810.06033,2018,Lihong Wang,"National Computer Network Emergency Response Technical Team/Coordination Center of China, Beijing, China",government agency
1801.05644,2018,Olivier Cailloux,"Université Paris-Dauphine, PSL Research University, CNRS, LAMSADE, 75016 PARIS, FRANCE",research university
1801.05644,2018,Yves Meinard,"Université Paris-Dauphine, PSL Research University, CNRS, LAMSADE, 75016 PARIS, FRANCE",research university
1801.03160,2018,Felix Lindner,"Foundations of Artificial Intelligence, University of Freiburg, Germany",research university
1801.03160,2018,Martin Mose Bentzen,"Management Engineering, Technical University of Denmark, Lyngby, Denmark",research university
1812.08597,2018,Prashan Madumal,unknown,unknown
1812.08597,2018,Ronal Singh,unknown,unknown
1812.08597,2018,Joshua Newn,unknown,unknown
1812.08597,2018,Frank Vetere,unknown,unknown
1808.03598,2018,Henok Ghebrechristos,University of Colorado-Denver,research university
1808.03598,2018,Drew Miller,rbitrator@live.com,unknown
1810.06765,2018,Vithya Yogarajan,"Department of Computer Science, The University of Waikato, Hamilton, New Zealand",research university
1810.06765,2018,Michael Mayo,"Department of Computer Science, The University of Waikato, Hamilton, New Zealand",research university
1810.06765,2018,Bernhard Pfahringer,"Department of Computer Science, The University of Waikato, Hamilton, New Zealand",research university
1811.11623,2018,Alexander Schindler,"Center for Digital Safety and Security, AIT Austrian Institute of Technology GmbH, Vienna 1210, Austria",national research institute
1811.11623,2018,Martin Boyer,"Center for Digital Safety and Security, AIT Austrian Institute of Technology GmbH, Vienna 1210, Austria",national research institute
1811.11623,2018,Andrew Lindley,"Center for Digital Safety and Security, AIT Austrian Institute of Technology GmbH, Vienna 1210, Austria",national research institute
1811.11623,2018,David Schreiber,"Center for Digital Safety and Security, AIT Austrian Institute of Technology GmbH, Vienna 1210, Austria",national research institute
1811.11623,2018,Thomas Philipp,"LIquA - Linzer Institut für qualitative Analysen, Linz 4020, Austria",independent research institute
1809.06481,2018,Sahin Cem Geyik,"LinkedIn Corporation, USA",tech company
1809.06481,2018,Qi Guo,"LinkedIn Corporation, USA",tech company
1809.06481,2018,Bo Hu,"LinkedIn Corporation, USA",tech company
1809.06481,2018,Cagri Ozcaglar,"LinkedIn Corporation, USA",tech company
1809.06481,2018,Ketan Thakkar,"LinkedIn Corporation, USA",tech company
1809.06481,2018,Xianren Wu,"LinkedIn Corporation, USA",tech company
1809.06481,2018,Krishnaram Kenthapadi,"LinkedIn Corporation, USA",tech company
1802.04181,2018,Timothée Lesort,"U2IS, ENSTA ParisTech, Inria FLOWERS team, Université Paris Saclay, Palaiseau, France",research university / public research institute
